id,character,season,rank,word,count,uniqueness_score
376,Sheldon,7.0,6,know,87,20.51219512195122
377,Sheldon,7.0,7,bom,20,20.0
378,Sheldon,7.0,8,right,54,16.2
379,Sheldon,7.0,9,think,51,13.407216494845361
380,Sheldon,7.0,10,good,44,13.081081081081082
381,Penny,7.0,1,know,75,15.24390243902439
382,Penny,7.0,2,come,40,10.8843537414966
383,Penny,7.0,3,right,42,9.8
384,Penny,7.0,4,sweetie,9,9.0
385,Penny,7.0,5,really,34,7.758389261744966
386,Penny,7.0,6,sheldon,40,7.582938388625592
387,Penny,7.0,7,want,38,7.4051282051282055
388,Penny,7.0,8,guys,24,7.384615384615385
389,Penny,7.0,9,god,15,7.03125
390,Penny,7.0,10,break,11,6.722222222222223
391,Amy,7.0,1,sheldon,67,21.274881516587676
392,Amy,7.0,2,image,6,6.0
393,Amy,7.0,3,rajesh,7,5.444444444444445
394,Amy,7.0,4,bert,6,4.0
395,Amy,7.0,5,neil,4,3.2
396,Amy,7.0,6,monkeys,4,3.2
397,Amy,7.0,7,janko,3,3.0
398,Amy,7.0,8,ding,3,3.0
399,Amy,7.0,9,cheer,3,3.0
400,Amy,7.0,10,item,3,3.0
401,Howard,7.0,1,bernie,8,8.0
402,Howard,7.0,2,bernadette,17,7.048780487804878
403,Howard,7.0,3,mom,18,6.230769230769231
404,Howard,7.0,4,without,15,5.769230769230769
405,Howard,7.0,5,know,44,5.246612466124661
406,Howard,7.0,6,go,30,4.166666666666667
407,Howard,7.0,7,starving,4,4.0
408,Howard,7.0,8,astronaut,6,4.0
409,Howard,7.0,9,sex,10,3.225806451612903
410,Howard,7.0,10,want,25,3.205128205128205
411,Bernadette,7.0,1,howie,21,21.0
412,Bernadette,7.0,2,go,33,5.041666666666667
413,Bernadette,7.0,3,faster,4,4.0
414,Bernadette,7.0,4,raj,10,3.4482758620689657
415,Bernadette,7.0,5,stuart,8,3.0476190476190474
416,Bernadette,7.0,6,hi,9,2.8928571428571432
417,Bernadette,7.0,7,still,12,2.4827586206896552
418,Bernadette,7.0,8,aw,8,2.4615384615384617
419,Bernadette,7.0,9,company,3,2.25
420,Bernadette,7.0,10,card,5,2.0833333333333335
421,Leonard,7.0,1,know,80,17.34417344173442
422,Leonard,7.0,2,sheldon,57,15.398104265402845
423,Leonard,7.0,3,penny,33,10.471153846153845
424,Leonard,7.0,4,want,37,7.02051282051282
425,Leonard,7.0,5,go,38,6.685185185185185
426,Leonard,7.0,6,think,36,6.680412371134021
427,Leonard,7.0,7,come,31,6.537414965986395
428,Leonard,7.0,8,one,37,6.251141552511415
429,Leonard,7.0,9,really,30,6.040268456375839
430,Leonard,7.0,10,take,23,5.877777777777777
431,Raj,7.0,1,emily,19,14.44
432,Raj,7.0,2,girl,16,7.529411764705882
433,Raj,7.0,3,see,29,6.9504132231404965
434,Raj,7.0,4,murder,7,6.125
435,Raj,7.0,5,lucy,8,5.818181818181818
436,Raj,7.0,6,howard,16,5.12
437,Raj,7.0,7,cinnamon,8,4.571428571428571
438,Raj,7.0,8,know,40,4.336043360433605
439,Raj,7.0,9,night,17,4.070422535211267
440,Raj,7.0,10,dude,4,4.0
441,Sheldon,8.0,1,knock,71,61.47560975609756
442,Sheldon,8.0,2,leonard,70,43.75
443,Sheldon,8.0,3,know,98,25.010416666666664
444,Sheldon,8.0,4,one,70,24.13793103448276
445,Sheldon,8.0,5,amy,39,20.835616438356166
446,Sheldon,8.0,6,good,52,18.648275862068964
447,Sheldon,8.0,7,see,46,17.781512605042018
448,Sheldon,8.0,8,right,55,14.684466019417476
449,Sheldon,8.0,9,make,38,13.37037037037037
450,Sheldon,8.0,10,think,51,12.940298507462687
451,Penny,8.0,1,really,41,11.755244755244755
452,Penny,8.0,2,know,66,11.34375
453,Penny,8.0,3,want,44,10.297872340425531
454,Penny,8.0,4,sweetie,8,7.111111111111111
455,Penny,8.0,5,hi,12,6.857142857142857
456,Penny,8.0,6,little,25,6.720430107526881
457,Penny,8.0,7,people,23,6.69620253164557
458,Penny,8.0,8,go,32,6.206060606060606
459,Penny,8.0,9,think,35,6.09452736318408
460,Penny,8.0,10,aw,9,5.7857142857142865
461,Amy,8.0,1,sheldon,42,12.970588235294118
462,Amy,8.0,2,starfish,3,3.0
463,Amy,8.0,3,color,3,3.0
464,Amy,8.0,4,notes,3,3.0
465,Amy,8.0,5,two,15,2.7777777777777777
466,Amy,8.0,6,wool,4,2.6666666666666665
467,Amy,8.0,7,forget,5,2.5
468,Amy,8.0,8,night,10,2.3255813953488373
469,Amy,8.0,9,turtle,4,2.2857142857142856
470,Amy,8.0,10,manilow,3,2.25
