id,character,season,word,count
1077,Bernadette,9,really,13
1078,Bernadette,9,raj,12
1079,Bernadette,9,right,11
1080,Bernadette,9,come,10
1081,Bernadette,9,take,10
1082,Bernadette,9,look,10
1083,Bernadette,10,go,25
1084,Bernadette,10,know,24
1085,Bernadette,10,right,17
1086,Bernadette,10,back,17
1087,Bernadette,10,baby,18
1088,Bernadette,10,want,13
1089,Bernadette,10,work,13
1090,Bernadette,10,fine,13
1091,Bernadette,10,really,13
1092,Bernadette,10,see,12
1093,Bernadette,10,think,12
1094,Bernadette,10,let,12
1095,Bernadette,10,raj,12
1096,Bernadette,10,love,11
1097,Bernadette,10,us,11
1236,Leonard,1,sheldon,90
1237,Leonard,1,penny,76
1238,Leonard,1,know,67
1239,Leonard,1,go,63
1240,Leonard,1,yes,37
1241,Leonard,1,right,37
1242,Leonard,1,one,33
1243,Leonard,1,good,32
1244,Leonard,1,come,32
1245,Leonard,1,want,29
1246,Leonard,1,think,29
1247,Leonard,1,say,30
1248,Leonard,1,see,28
1249,Leonard,1,howard,28
1250,Leonard,1,really,27
1251,Leonard,2,sheldon,95
1252,Leonard,2,go,75
1253,Leonard,2,know,75
1254,Leonard,2,penny,63
1255,Leonard,2,want,49
1256,Leonard,2,right,46
1257,Leonard,2,really,44
1258,Leonard,2,yes,42
1259,Leonard,2,think,40
1260,Leonard,2,let,36
1261,Leonard,2,see,32
1262,Leonard,2,howard,32
1263,Leonard,2,come,32
1264,Leonard,2,good,31
1265,Leonard,2,look,29
1266,Leonard,3,sheldon,84
1267,Leonard,3,know,59
1268,Leonard,3,penny,57
1269,Leonard,3,want,57
1270,Leonard,3,right,48
1271,Leonard,3,go,45
1272,Leonard,3,come,44
1273,Leonard,3,let,35
1274,Leonard,3,really,35
1275,Leonard,3,good,30
1276,Leonard,3,think,30
1277,Leonard,3,one,28
1278,Leonard,3,night,25
1279,Leonard,3,fine,25
1280,Leonard,3,sure,25
1281,Leonard,4,sheldon,64
1282,Leonard,4,know,63
1283,Leonard,4,want,42
1284,Leonard,4,good,35
1285,Leonard,4,really,34
1286,Leonard,4,right,31
1287,Leonard,4,think,30
1288,Leonard,4,howard,29
1289,Leonard,4,see,28
1290,Leonard,4,go,27
1291,Leonard,4,raj,26
1292,Leonard,4,tell,25
1293,Leonard,4,night,23
1294,Leonard,4,come,22
1295,Leonard,4,sure,22
1296,Leonard,5,sheldon,67
1297,Leonard,5,know,58
1298,Leonard,5,right,48
1299,Leonard,5,good,45
1300,Leonard,5,think,41
1301,Leonard,5,go,39
1302,Leonard,5,want,39
1303,Leonard,5,see,33
1304,Leonard,5,sorry,31
1305,Leonard,5,really,27
1306,Leonard,5,time,27
1307,Leonard,5,back,24
1308,Leonard,5,come,23
1309,Leonard,5,howard,23
1310,Leonard,5,let,22
1311,Leonard,6,know,65
1312,Leonard,6,sheldon,54
1313,Leonard,6,want,35
1314,Leonard,6,right,31
1315,Leonard,6,great,28
1316,Leonard,6,go,28
1317,Leonard,6,one,27
1318,Leonard,6,good,25
1319,Leonard,6,really,24
1320,Leonard,6,think,24
1321,Leonard,6,penny,22
1322,Leonard,6,come,20
1323,Leonard,6,little,20
1324,Leonard,6,us,19
1325,Leonard,6,look,19
1326,Leonard,7,know,80
1327,Leonard,7,sheldon,57
1328,Leonard,7,go,38
1329,Leonard,7,want,37
1330,Leonard,7,one,37
1331,Leonard,7,think,36
1332,Leonard,7,penny,33
1333,Leonard,7,come,31
1334,Leonard,7,really,30
1335,Leonard,7,right,25
1336,Leonard,7,good,24
1337,Leonard,7,look,24
1338,Leonard,7,time,23
1339,Leonard,7,take,23
1340,Leonard,7,say,23
1341,Leonard,8,know,69
1342,Leonard,8,think,42
1343,Leonard,8,sheldon,36
1344,Leonard,8,right,34
1345,Leonard,8,really,34
1346,Leonard,8,one,33
1347,Leonard,8,want,31
1348,Leonard,8,let,28
1349,Leonard,8,us,23
1350,Leonard,8,go,21
1351,Leonard,8,look,21
1352,Leonard,8,mean,21
1353,Leonard,8,come,20
1354,Leonard,8,good,19
1355,Leonard,8,thank,20
1356,Leonard,9,know,56
1357,Leonard,9,time,33
1358,Leonard,9,think,33
1359,Leonard,9,right,29
1360,Leonard,9,want,29
1361,Leonard,9,go,29
1362,Leonard,9,sheldon,26
1363,Leonard,9,really,25
1364,Leonard,9,let,24
1365,Leonard,9,penny,24
1366,Leonard,9,make,23
1367,Leonard,9,good,21
1368,Leonard,9,one,19
1369,Leonard,9,us,19
1370,Leonard,9,say,19
1371,Leonard,10,know,43
1372,Leonard,10,sheldon,42
1373,Leonard,10,want,35
1374,Leonard,10,think,30
1375,Leonard,10,good,28
1376,Leonard,10,go,26
1377,Leonard,10,us,22
1378,Leonard,10,make,20
1379,Leonard,10,need,20
1380,Leonard,10,really,19
1381,Leonard,10,penny,17
1382,Leonard,10,right,17
1383,Leonard,10,little,15
1384,Leonard,10,work,16
1385,Leonard,10,come,14
1520,Raj,1,hee,22
1521,Raj,1,sheldon,15
1522,Raj,1,little,12
1523,Raj,1,one,10
1524,Raj,1,look,9
1525,Raj,1,papa,9
1526,Raj,1,time,9
1527,Raj,1,lalita,9
1528,Raj,1,girl,8
1529,Raj,1,say,8
1530,Raj,1,go,8
1531,Raj,1,know,8
1532,Raj,1,back,7
1533,Raj,1,dude,7
1534,Raj,1,leonard,6
1535,Raj,2,go,19
1536,Raj,2,know,15
1537,Raj,2,sheldon,13
1538,Raj,2,dude,12
1539,Raj,2,leonard,12
1540,Raj,2,one,12
1541,Raj,2,people,11
1542,Raj,2,penny,8
1543,Raj,2,star,8
1544,Raj,2,guys,8
1545,Raj,2,howard,8
1546,Raj,2,way,7
1547,Raj,2,yes,7
1548,Raj,2,see,7
1549,Raj,2,actually,7
1550,Raj,3,go,32
1551,Raj,3,sheldon,31
1552,Raj,3,know,31
1553,Raj,3,come,22
1554,Raj,3,want,22
1555,Raj,3,dude,21
1556,Raj,3,let,20
1557,Raj,3,think,19
1558,Raj,3,right,18
1559,Raj,3,tell,15
1560,Raj,3,look,15
1561,Raj,3,good,15
1562,Raj,3,really,14
1563,Raj,3,great,14
1564,Raj,3,howard,12
1565,Raj,4,know,24
1566,Raj,4,think,22
1567,Raj,4,one,22
1568,Raj,4,sheldon,22
1569,Raj,4,sister,19
1570,Raj,4,right,18
1571,Raj,4,leonard,18
1572,Raj,4,good,17
1573,Raj,4,dude,13
1574,Raj,4,say,13
1575,Raj,4,go,11
1576,Raj,4,take,11
1577,Raj,4,night,11
1578,Raj,4,talking,11
1579,Raj,4,want,11
1580,Raj,5,know,21
1581,Raj,5,one,20
1582,Raj,5,howard,17
1583,Raj,5,right,16
1584,Raj,5,go,14
1585,Raj,5,say,13
1586,Raj,5,want,13
1587,Raj,5,make,13
1588,Raj,5,penny,12
1589,Raj,5,love,12
1590,Raj,5,us,13
1591,Raj,5,let,12
1592,Raj,5,man,12
1593,Raj,5,tell,11
1594,Raj,5,good,11
1595,Raj,6,know,47
1596,Raj,6,want,27
1597,Raj,6,come,25
1598,Raj,6,right,24
1599,Raj,6,oontz,24
1600,Raj,6,one,22
1601,Raj,6,night,19
1602,Raj,6,howard,18
1603,Raj,6,little,18
1604,Raj,6,make,18
1605,Raj,6,good,18
1606,Raj,6,see,18
1607,Raj,6,go,17
1608,Raj,6,say,17
1609,Raj,6,party,17
1610,Raj,7,know,40
1611,Raj,7,see,29
1612,Raj,7,one,25
1613,Raj,7,want,22
1614,Raj,7,look,21
1615,Raj,7,go,19
1616,Raj,7,emily,19
1617,Raj,7,good,18
1618,Raj,7,right,18
1619,Raj,7,let,18
1620,Raj,7,think,17
1621,Raj,7,night,17
1622,Raj,7,time,17
1623,Raj,7,guys,16
1624,Raj,7,yes,16
1625,Raj,8,know,57
1626,Raj,8,guys,28
1627,Raj,8,right,22
1628,Raj,8,one,22
1629,Raj,8,go,21
1630,Raj,8,think,20
1631,Raj,8,want,18
1632,Raj,8,little,17
1633,Raj,8,come,15
1634,Raj,8,look,15
1635,Raj,8,really,15
1636,Raj,8,good,15
1637,Raj,8,make,14
1638,Raj,8,let,14
1639,Raj,8,back,14
1640,Raj,9,know,44
1641,Raj,9,right,30
1642,Raj,9,guys,24
1643,Raj,9,think,20
1644,Raj,9,really,18
1645,Raj,9,good,18
1646,Raj,9,let,17
1647,Raj,9,maybe,18
1648,Raj,9,emily,17
1649,Raj,9,time,16
1650,Raj,9,say,16
1651,Raj,9,come,13
1652,Raj,9,claire,13
1653,Raj,9,sure,12
1654,Raj,9,look,12
1655,Raj,10,know,36
1656,Raj,10,think,26
1657,Raj,10,want,25
1658,Raj,10,howard,20
1659,Raj,10,good,19
1660,Raj,10,one,19
1661,Raj,10,thank,17
1662,Raj,10,sheldon,17
1663,Raj,10,say,16
1664,Raj,10,see,16
1665,Raj,10,go,15
1666,Raj,10,take,15
1667,Raj,10,come,14
1668,Raj,10,right,14
1669,Raj,10,maybe,14
