id,character,season,word,count
1372,Leonard,10.0,sheldon,42
1373,Leonard,10.0,want,35
1374,Leonard,10.0,think,30
1375,Leonard,10.0,good,28
1376,Leonard,10.0,go,26
1377,Leonard,10.0,us,22
1378,Leonard,10.0,make,20
1379,Leonard,10.0,need,20
1380,Leonard,10.0,really,19
1381,Leonard,10.0,penny,17
1382,Leonard,10.0,right,17
1383,Leonard,10.0,little,15
1384,Leonard,10.0,work,16
1385,Leonard,10.0,come,14
352,Penny,1.0,leonard,58
353,Penny,1.0,know,56
354,Penny,1.0,sheldon,46
355,Penny,1.0,really,43
356,Penny,1.0,guys,35
357,Penny,1.0,go,29
358,Penny,1.0,good,27
359,Penny,1.0,one,26
360,Penny,1.0,want,26
361,Penny,1.0,come,21
362,Penny,1.0,alright,21
363,Penny,1.0,raj,20
364,Penny,1.0,sorry,19
365,Penny,1.0,look,18
366,Penny,1.0,howard,17
367,Penny,2.0,know,95
368,Penny,2.0,sheldon,91
369,Penny,2.0,leonard,60
370,Penny,2.0,right,43
371,Penny,2.0,come,37
372,Penny,2.0,really,35
373,Penny,2.0,look,33
374,Penny,2.0,go,31
375,Penny,2.0,one,28
376,Penny,2.0,guys,26
377,Penny,2.0,little,25
378,Penny,2.0,yes,25
379,Penny,2.0,think,25
380,Penny,2.0,want,23
381,Penny,2.0,see,23
382,Penny,3.0,know,77
383,Penny,3.0,sheldon,73
384,Penny,3.0,leonard,55
385,Penny,3.0,go,44
386,Penny,3.0,right,31
387,Penny,3.0,want,26
388,Penny,3.0,sorry,26
389,Penny,3.0,one,26
390,Penny,3.0,really,25
391,Penny,3.0,back,24
392,Penny,3.0,come,24
393,Penny,3.0,look,23
394,Penny,3.0,let,23
395,Penny,3.0,think,20
396,Penny,3.0,little,20
397,Penny,4.0,know,79
398,Penny,4.0,leonard,54
399,Penny,4.0,sheldon,51
400,Penny,4.0,right,43
401,Penny,4.0,amy,33
402,Penny,4.0,go,33
403,Penny,4.0,look,32
404,Penny,4.0,want,31
405,Penny,4.0,really,29
406,Penny,4.0,sorry,28
407,Penny,4.0,let,26
408,Penny,4.0,guys,21
409,Penny,4.0,think,20
410,Penny,4.0,little,20
411,Penny,4.0,great,19
412,Penny,5.0,know,69
413,Penny,5.0,right,41
414,Penny,5.0,go,38
415,Penny,5.0,sheldon,37
416,Penny,5.0,look,36
417,Penny,5.0,want,31
